player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Justin Patton,pattoju01,2020,56,24,-5.201065575455313,-4.0234869732948,-9.224552548750115,-2.802590173150687,-11.197191809917,-13.99978198306769,-5.031235284899831,-5.771748160479403,-10.80298344537924,-.0987731787529,-.0987731787529,0,-3.826003920007598,-4.623822817280292,-8.449826737287889,.17180199353008
Chris Paul,paulch01,2020,3175,1516,5.255113228393586,-2.189791397707912,3.065321830685675,5.213498858472256,-.7288006179193004,4.484698240552956,5.561445862691507,-2.071507199938469,3.489938662753038,4.800088302480332,4.800088302480332,0,4.693164559844101,-.7075303529061919,3.985634206937909,-.555554493290499
Elfrid Payton,paytoel01,2020,1733,825,-1.048036990920126,1.493260449524043,.4452234586039172,2.586367755284445,-.3149138129067622,2.271453942377683,-.2901845427392942,1.261746381477027,.9715618387377327,1.563802647584292,1.563802647584292,0,-.634130832952859,1.322608787645232,.6884779546923727,-.1731952376752729
Gary Payton II,paytoga02,2020,788,370,-1.675643338315633,.1611560194218304,-1.514487318893802,-6.388220490999516,-2.504656068447276,-8.892876559446792,-2.784005229535463,-.2551224497627734,-3.039127679298236,-.0547121645871438,-.0547121645871438,0,-2.552620889442436,.6560444044019612,-1.896576485040474,.2475071373682498
Norvel Pelle,pelleno01,2020,321,156,-4.471428916843331,1.027595493490482,-3.443833423352849,-5.083264499466951,-4.278141925659993,-9.361406425126944,-4.859053109250736,-.1056314017701194,-4.964684511020855,-.1744971218389908,-.1744971218389908,0,-4.806063996707048,1.36508109678631,-3.440982899920738,-1.026040679328066
Theo Pinson,pinsoth01,2020,710,332,-5.384420629275573,1.153754838660912,-4.23066579061466,-3.121118479477842,3.603208042896552,.4820895634187097,-5.179905502621221,1.730182316720882,-3.449723185900338,-.1185164902391179,-.1185164902391179,0,-3.282096151439249,.6257227553421996,-2.656373396097049,-.0061141786776025
Mason Plumlee,plumlma01,2020,1582,750,-.390676478179276,.0535743490947519,-.3371021290845241,.3750448638425568,.2509338351695301,.6259786990120868,-.2681727157252742,.0311878765124046,-.2369848392128695,.9727966401956487,.9727966401956487,0,-.5710486904609927,.079004629685297,-.4920440607756957,1.187674146409378
Jakob Poeltl,poeltja01,2020,1789,827,-.3646969168811186,3.790990890897832,3.426293974016713,5.260170041159732,.8210298382194225,6.081199879379154,.8053992929430698,3.471060381013899,4.276459673956969,2.974744843360892,2.974744843360892,0,.3030240529893273,2.537646493936585,2.840670546925912,.3453412729320731
Vincent Poirier,poirivi01,2020,206,92,-5.018826105571756,-3.203469689347654,-8.222295794919409,-4.996550056013051,-.8885049698172283,-5.88505502583028,-5.392788220251813,-3.046143536721647,-8.43893175697346,-.2675458311634718,-.2675458311634718,0,-5.963447705153237,-1.998320986006754,-7.961768691159991,.1973794514040107
Shamorie Ponds,pondssh01,2020,23,11,13.55261114766819,-31.89200659647442,-18.33939544880623,5.027308179373082,-14.07232435158616,-9.045016172213078,12.50166480537304,-30.25905297055773,-17.75738816518469,-.0832705583624242,-.0832705583624242,0,7.80905464337784,-24.56860255967439,-16.75954791629655,-1.155785488800949
Jordan Poole,poolejo01,2020,1930,894,-3.704470544196669,-2.369084223048825,-6.073554767245493,-3.952897075713904,1.864988070521031,-2.087909005192873,-3.887896993869093,-1.61628857852304,-5.504185572392133,-1.258665618066749,-1.258665618066749,0,-3.987869253973103,-1.649706567973594,-5.637575821946697,.1973828713052152
Kevin Porter Jr.,porteke02,2020,1694,813,-2.405096281948516,-1.974788863471388,-4.379885145419904,-3.92936179404394,-.5453565714492381,-4.474718365493178,-2.819546916991314,-1.681898133853724,-4.501445050845039,-.7293092816184455,-.7293092816184455,0,-1.675494579294588,-1.632244346404725,-3.307738925699313,.39652278866904
Michael Porter Jr.,portemi01,2020,1125,531,1.806756683923245,.0346984763268655,1.84145516025011,2.663055290308727,-3.53655760619819,-.8735023158894633,2.076083609723482,-.7470329605348582,1.329050649188624,1.11212371264981,1.11212371264981,0,1.691301357638394,-.8412680894540356,.8500332681843588,.650372412786884
Otto Porter Jr.,porteot01,2020,479,226,.1318650823050988,-.6482231442794245,-.5163580619743258,.0041972509354803,-2.277947541157943,-2.273750290222462,.1752954497828745,-1.049458182501023,-.8741627327181483,.2173919420341813,.2173919420341813,0,-1.658888254635461,-.4886587109665029,-2.147546965601964,.518117253837563
Bobby Portis,portibo01,2020,2174,1021,-1.791351506567055,-1.02816874741638,-2.819520253983435,-3.694447752680404,-1.655838043438365,-5.350285796118769,-2.228205094060799,-1.174488146264101,-3.4026932403249,-.3390474843141644,-.3390474843141644,0,-1.928531513687001,-1.62293379924028,-3.551465312927281,-.2850479891505058
Kristaps Porzingis,porzikr01,2020,2302,1092,-2.393484847291899,1.286396285398399,-1.1070885618935,-.0533904252995259,2.402742678077967,2.349352252778441,-2.185890541295568,1.606009048595057,-.5798814927005114,1.216417677908227,1.216417677908227,0,.2176248832547179,1.274769236082673,1.492394119337391,.6213260834580019
Dwight Powell,poweldw01,2020,2197,1061,-.9598980010982708,.4880123127187921,-.4718856883794786,3.998255184012656,.0189596380714242,4.01721482208408,-.014374040701107,.4272970539286203,.4129230132275133,1.700154891417356,1.700154891417356,0,.914535555541835,.7183701881874567,1.632905743729292,-.7155629300214498
Norman Powell,powelno01,2020,2247,1043,1.393456242860893,-.2135230330016895,1.179933209859204,.4385165653909427,.8397475675930278,1.278264132983971,1.252574639654958,-.050910367070996,1.201664272583961,2.115336881430815,2.115336881430815,0,1.15521269952871,.1064478389049041,1.261660538433614,.6068018976754964
Taurean Prince,princta02,2020,2941,1377,-2.231661616022221,.9101818254452735,-1.321479790576947,2.889036054161384,-2.35258191904551,.5364541351158736,-1.257537543243887,.2736406178497988,-.9838969253940886,1.248335141543858,1.248335141543858,0,-.8394777421836417,.4663494035066672,-.3731283386769745,.6224078053312055
Julius Randle,randlju01,2020,3158,1519,-1.141357615017821,-.2318499330325211,-1.373207548050342,.8658771436106517,2.219041009867428,3.08491815347808,-.7025817152745867,.3059439137902071,-.3966378014843797,1.821413502213554,1.821413502213554,0,-.5039079102625698,-.1330501694582369,-.6369580797208066,-.1358320322486765
Josh Reaves,reavejo02,2020,3,1,-28.8492590032847,-25.15302817729391,-54.00228718057861,-64.98945647506547,-20.89073030813307,-85.88018678319854,-38.37298183738056,-25.87036395076376,-64.24334578814432,-.0306897399326756,-.0306897399326756,0,-22.13192607507628,-21.82027743305048,-43.95220350812676,-2.225371246566546
Cam Reddish,reddica01,2020,2630,1189,-4.10281622765997,.5658462395922339,-3.536969988067736,-3.301252915705552,.0026011827323142,-3.298651732973237,-4.14180371167416,.5442024406109545,-3.597601271063206,-.5195334616413022,-.5195334616413022,0,-3.143733066360668,.0426614561218745,-3.101071610238794,1.062803694564376
JJ Redick,redicjj01,2020,2654,1204,2.327264324621266,-2.659356960060213,-.3320926354389471,.9681728581491871,-1.556434027470011,-.5882611693208235,2.171491609323727,-2.571449734855269,-.3999581255315419,1.462041767605408,1.462041767605408,0,2.724929519489546,-2.695384801181132,.0295447183084137,1.304695188779953
Naz Reid,reidna01,2020,339,155,.8594481989561649,1.308540951176194,2.167989150132359,.5481576577676242,4.008046258878623,4.556203916646247,.9322035817530077,1.944742205565253,2.87694578731826,.448899484718518,.448899484718518,0,.9550050512115559,2.086914860498494,3.04191991171005,.8978325572730249
Josh Richardson,richajo01,2020,2512,1198,.4605653931935296,.981898479474807,1.442463872668337,-.0252706155544689,.7399189699542885,.7146483543998197,.39649188640635,.9397036978492856,1.336195584255636,2.49176508899399,2.49176508899399,0,.5417610225646028,1.645356752648933,2.187117775213535,-.236893185913647
Austin Rivers,riverau01,2020,2239,1013,-.0688572194863032,-1.912025836236118,-1.980883055722422,5.570568808053578,-4.929312107510228,.6412567005433498,1.030899445647957,-2.663338847123759,-1.632439401475802,.575868669530072,.575868669530072,0,.6229815905302669,-2.567568006143605,-1.944586415613338,-.3044350606930211
Duncan Robinson,robindu01,2020,2761,1335,1.817166158884902,-.9215445335060513,.8956216253788507,4.385563616033287,.665639611096555,5.051203227129842,2.433900244702923,-.6569878156333748,1.776912429069548,3.07712287531545,3.07712287531545,0,2.310204608280677,-.7727251169286613,1.537479491352016,-.2063301593004735
Glenn Robinson III,robingl02,2020,3094,1459,-1.511831575552632,-1.884852287126697,-3.396683862679329,-.0767642662508198,-4.625446253191189,-4.702210519442009,-1.254848052796647,-2.545647407717497,-3.800495460514144,-.7775728856086753,-.7775728856086753,0,-1.70778119823091,-1.768019662876301,-3.475800861107211,-.5737973307932268
Jerome Robinson,robinje01,2020,1069,472,-4.336311305544895,.0817073290469965,-4.254603976497899,-2.76036397941793,4.671180123736788,1.910816144318857,-4.317883938409942,.9872327323605811,-3.330651206049361,-.1408737116034619,-.1408737116034619,0,-4.111129297600047,.5314253405697843,-3.579703957030262,.762320066195601
Justin Robinson,robinju01,2020,101,49,-4.849993974200117,-2.862773316016666,-7.712767290216783,3.659974808270394,11.44173215223153,15.10170696050193,-3.354248481841643,.0849336590064726,-3.269314822835171,-.0128807748269241,-.0128807748269241,0,-2.964572900479747,-5.150664325745351,-8.115237226225098,-.8016937332062329
Mitchell Robinson,robinmi01,2020,2161,1029,.6823029733126419,-.1852205803410114,.4970823929716305,-.5219493906057286,-.4025471981894833,-.9244965887952119,.5240977236644274,-.1704003648756074,.35369735878882,1.624859980535986,1.624859980535986,0,.0717899939868474,.2157102468377846,.2875002408246319,-.2860950149871722
Isaiah Roby,robyis01,2020,5,2,-20.81997203306739,-3.063116671143442,-23.88308870421083,-59.42390070393393,-16.57084998045842,-75.99475068439234,-30.25407841491905,-6.184502243155567,-36.43858065807461,-.0347883492705464,-.0347883492705464,0,-22.71573855014543,-5.542345137883413,-28.25808368802884,1.224626450539444
Rajon Rondo,rondora01,2020,1388,658,.0304050439836743,-2.634281001134596,-2.603875957150922,-1.712533657389935,-.6302943333018243,-2.34282799069176,-.383127607298477,-2.425671272777794,-2.808798880076271,-.019721867616671,-.019721867616671,0,-.0137879021538028,-1.819149047610379,-1.832936949764181,-.0909808923344441
Derrick Rose,rosede01,2020,2386,1121,4.003062125098723,-2.622327018040436,1.380735107058287,3.622795359881288,-2.094673711745943,1.528121648135345,4.15787059785071,-2.646752668887791,1.51111792896292,2.446428191951488,2.446428191951488,0,2.848617560003817,-3.554142157777995,-.7055245977741786,.3914814317264395
Terrence Ross,rosste01,2020,2486,1198,.9397114617696615,-1.040828804382126,-.1011173426124646,-4.628814455280612,2.032092737988304,-2.596721717292307,-.1019031068863955,-.5063164059671904,-.6082195128535859,1.304735958963659,1.304735958963659,0,.6116499941248328,-.244526938832518,.3671230552923148,-.3400547363253333
Terry Rozier,roziete01,2020,3333,1643,.2427337705151894,-.5302086389520665,-.2874748684368771,-5.536056963455141,-4.02694554999708,-9.563002513452222,-.8689778118676658,-1.252918388060771,-2.121896199928436,.5234218342270297,.5234218342270297,0,-.8992132326421992,-1.503305088513714,-2.402518321155914,-.5992125388225361
Ricky Rubio,rubiori01,2020,2790,1285,.2889046756333123,.6363446957991166,.9252493714324288,3.036000515061381,2.70936815173669,5.745368666798071,.8778629986574402,1.117843255015976,1.995706253673416,3.138857269677869,3.138857269677869,0,-.1813951393184557,1.644284652847602,1.462889513529146,.9032632520745982
D'Angelo Russell,russeda01,2020,2146,999,4.097025171203209,-3.85419484362802,.2428303275751889,1.049701522313037,-3.368201779182402,-2.318500256869366,3.927187207155333,-3.97975147074191,-.0525642635865764,1.399124187706243,1.399124187706243,0,3.911691450273433,-3.438046301886236,.4736451483871971,1.801356720891316
Domantas Sabonis,sabondo01,2020,3187,1549,.557922473991676,-.117228244621383,.440694229370293,2.447214407749095,2.409865763563542,4.857080171312637,.9505916327983421,.3789100477593679,1.32950168055771,3.208620315887536,3.208620315887536,0,1.014021001518891,.7174163072099189,1.73143730872881,-.4877383602527767
JaKarr Sampson,sampsja02,2020,501,242,-2.973508255740885,2.61664446235089,-.3568637933899947,.3801351480736277,-2.288217524900162,-1.908082376826535,-2.442167263474335,1.724517788644648,-.7176494748296876,.2498494530361515,.2498494530361515,0,-3.22963599185323,1.039208031206785,-2.190427960646445,-.4398739319910576
Dario Saric,saricda01,2020,2543,1185,-1.082422452298053,.5001989690408315,-.5822234832572215,-.1874437080536146,-3.396654620334092,-3.584098328387707,-.9650812549284988,-.2698967606075807,-1.234978015536079,.9174478830463336,.9174478830463336,0,-1.607703906842158,.195839941041736,-1.411863965800422,.1654789063964497
Tomas Satoransky,satorto01,2020,3011,1430,-.0455334738611183,1.492322150060469,1.44678867619935,2.478918382361793,1.284452074639058,3.763370457000851,.5374902913636322,1.532611059854403,2.070101351218036,3.524544024790877,3.524544024790877,0,-.0049753961961811,1.848242450835774,1.843267054639592,.2282480873188945
Admiral Schofield,schofad01,2020,628,292,-1.626344335808345,-4.123013065792398,-5.749357401600743,-2.793110683995675,-.279862010001738,-3.072972693997413,-1.982715063462307,-3.452512578350728,-5.435227641813035,-.398616721277816,-.398616721277816,0,-1.473183684685053,-4.01462570239566,-5.487809387080713,-.3633085512780497
Dennis Schroder,schrode01,2020,3177,1496,.7012286293363548,-.8587465336796152,-.1575179043432604,-1.905367078463227,10.29980974877523,8.394442670312001,.1917922378548044,1.36384163118743,1.555633869042235,3.316647615572325,3.316647615572325,0,-.0889522618491568,.9588524564203007,.869900194571144,.9419236275709608
Mike Scott,scottmi01,2020,1848,866,-.67252924505027,-2.09542616285462,-2.76795540790489,1.431786743028061,1.351287900641549,2.78307464366961,-.2663675831313609,-1.543335096391551,-1.809702679522912,.4132517585026808,.4132517585026808,0,-.3395768477548797,-1.79377565224618,-2.13335250000106,-.541084047867053
Thabo Sefolosha,sefolth01,2020,709,316,-1.881031431289037,1.848989229295294,-.0320422019937432,-.4593641438303309,.3920766105286634,-.0672875333016675,-1.793164638896041,1.645116479045591,-.1480481598504499,.4192820094983246,.4192820094983246,0,-1.640378473484304,.7857389341887721,-.8546395392955323,-.0518140441209843
Collin Sexton,sextoco01,2020,3266,1570,.6553388651232774,-3.633721466018919,-2.978382600895642,2.297474502838385,-8.09466963575913,-5.797195132920746,1.084843351669858,-4.724673124591387,-3.639829772921529,-.7115263077473328,-.7115263077473328,0,1.197102792610868,-4.386957602381486,-3.189854809770617,-.1775064037737889
Landry Shamet,shamela01,2020,1878,877,.5225258122427321,-2.101055212069779,-1.578529399827047,.9185169113928593,-3.352707321840981,-2.434190410448121,.6022452724483682,-2.540293825347996,-1.938048552899628,.3625474549501858,.3625474549501858,0,.078715813169972,-.9652170014359046,-.8865011882659326,-.2124909306845078
Iman Shumpert,shumpim01,2020,501,241,-3.914062288472681,1.155414251682507,-2.758648036790174,-3.225908836543407,-1.532120502511115,-4.758029339054522,-4.010744144764535,.646105514621832,-3.364638630142704,-.0754948186637133,-.0754948186637133,0,-3.316149285341373,.3323155949012261,-2.983833690440147,-.1080799216480726
Pascal Siakam,siakapa01,2020,2743,1293,.1493420196814066,-.560396312376819,-.4110542926954124,3.643339933389802,2.161863622009832,5.805203555399634,.8539752977947995,-.0953852823922366,.758590015402563,2.317896557376034,2.317896557376034,0,1.342869615570241,.1577652639294199,1.500634879499661,.1463660232621527
Chris Silva,silvach01,2020,558,260,-.4219567409885047,-1.641843462782816,-2.06380020377132,1.26664541032184,-1.303107702290744,-.0364622919689042,-.1364785979891808,-1.770112013764664,-1.906590611753844,.1134993905184232,.1134993905184232,0,-.0368229988785976,-1.329432173764608,-1.366255172643206,1.477151393104502
Ben Simmons,simmobe01,2020,3566,1699,.3569466166117477,2.399717473644652,2.756664090256399,2.130096092072317,-1.717315790552356,.4127803015199618,.7573277849640163,1.631950795495045,2.389278580459061,4.492847693084848,4.492847693084848,0,1.326329877583061,3.234119740750355,4.560449618333416,.8697418554888847
Anfernee Simons,simonan01,2020,2345,1093,-2.086871933586038,-4.18800048840452,-6.274872421990558,-5.863802553824963,-4.82134778843958,-10.68515034226454,-3.028782979453954,-4.529982730444819,-7.558765709898773,-2.669652928826328,-2.669652928826328,0,-2.546877625965306,-3.935054900826804,-6.481932526792111,-.4547059529247937
Alen Smailagic,smailal01,2020,199,92,.5442353192400159,2.006817561587925,2.551052880827941,5.238299746604354,-.8479338549786282,4.390365891625726,1.641731959094428,1.620878644578935,3.262610603673363,.2843722887190834,.2843722887190834,0,.9642179557435979,-.4730456346245108,.4911723211190872,.7774108663087921
